id,gis_id,name,full_name,bbox
4553,1267655302447105,Адыгея,Республика Адыгея,"[[38.684018, 43.760023], [40.776969, 45.217357]]"
4554,11260016975675394,Алтай (Республика),Республика Алтай,"[[83.932803, 49.071318], [89.865649, 52.660268]]"
4555,1267655302447126,Алтайский край,Алтайский край,"[[77.889018, 50.639877], [87.170489, 54.45311]]"
4556,1267655302447142,Амурская область,Амурская область,"[[119.655391, 48.853458], [134.920913, 57.060508]]"
4557,1267655302447143,Архангельская область,Архангельская область,"[[35.247076, 60.63621], [69.957225, 82.058623]]"
4558,1267655302447144,Астраханская область,Астраханская область,"[[44.960274, 45.262264], [50.150503, 48.863565]]"
4560,1267655302447107,Башкортостан,Республика Башкортостан,"[[53.157542, 51.570795], [60.000791, 56.534605]]"
4561,1267655302447145,Белгородская область,Белгородская область,"[[35.32612, 49.796468], [39.280809, 51.431732]]"
4562,1267655302447146,Брянская область,Брянская область,"[[31.24091, 51.843075], [35.328298, 54.033648]]"
4563,1267655302447108,Бурятия,Республика Бурятия,"[[98.63053, 49.9599], [116.921375, 57.249782]]"
4564,1267655302447147,Владимирская область,Владимирская область,"[[38.268103, 55.101892], [42.976134, 56.813406]]"
4565,1267655302447148,Волгоградская область,Волгоградская область,"[[41.16839, 47.44377], [47.431885, 51.24782]]"
4566,1267655302447149,Вологодская область,Вологодская область,"[[34.719093, 58.477315], [47.152878, 61.603663]]"
4567,1267655302447150,Воронежская область,Воронежская область,"[[38.137764, 49.557841], [42.947719, 52.103142]]"
4568,1267655302447109,Дагестан,Республика Дагестан,"[[45.107204, 41.187237], [48.814096, 44.991698]]"
4569,1267655302447139,Еврейская АО,Еврейская автономная область,"[[130.521015, 47.656518], [134.994737, 49.494104]]"
187450,1267655302447127,Забайкальский край,Забайкальский край,"[[107.733379, 49.1542], [122.14582, 58.437393]]"
4570,1267655302447151,Ивановская область,Ивановская область,"[[39.374037, 56.352311], [43.323043, 57.740504]]"
4571,1267655302447110,Ингушетия,Республика Ингушетия,"[[44.477547, 42.61473], [45.19541, 43.614916]]"
4572,1267655302447152,Иркутская область,Иркутская область,"[[95.645299, 51.129489], [119.139473, 64.322252]]"
4573,1267655302447111,Кабардино-Балкария,Кабардино-Балкарская Республика,"[[42.397268, 42.889536], [44.475502, 44.020314]]"
4574,1267655302447153,Калининградская область,Калининградская область,"[[19.414152, 54.318778], [22.886684, 55.384]]"
4575,1267655302447112,Калмыкия,Республика Калмыкия,"[[41.634345, 44.718891], [47.827616, 48.271706]]"
4576,1267655302447154,Калужская область,Калужская область,"[[33.441428, 53.276948], [37.27543, 55.35128]]"
4577,1267655302447128,Камчатский край,Камчатский край,"[[155.215243, 50.686734], [174.518872, 64.937469]]"
4578,1267655302447113,Карачаево-Черкесия,Карачаево-Черкесская Республика,"[[40.675481, 43.187409], [42.681373, 44.497696]]"
4579,1267655302447114,Карелия,Республика Карелия,"[[29.305928, 60.679569], [37.945606, 66.667324]]"
4580,1267655302447155,Кемеровская область,Кемеровская область — Кузбасс,"[[84.451588, 52.162704], [89.402644, 56.834333]]"
4581,1267655302447156,Кировская область,Кировская область,"[[46.265733, 56.060762], [53.931242, 61.067393]]"
4582,1267655302447115,Коми,Республика Коми,"[[45.398766, 59.198526], [66.251686, 68.422662]]"
4583,1267655302447157,Костромская область,Костромская область,"[[40.39079, 57.272297], [47.639515, 59.622997]]"
4584,1267655302447129,Краснодарский край,Краснодарский край,"[[36.534719, 43.224431], [41.743311, 47.003021]]"
4585,1267655302447130,Красноярский край,Красноярский край,"[[74.986851, 51.77325], [114.739629, 81.454998]]"
181462,2252817720934484,Крым,Республика Крым,"[[32.201579, 44.184598], [36.681568, 46.229999]]"
4586,1267655302447158,Курганская область,Курганская область,"[[61.966185, 54.187315], [68.722664, 56.842297]]"
